# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr  4 02:38:59 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbsmax < 5
# CONSTRAINT:  and pl_bmassj > 0.36)
# CONSTRAINT:  order by pl_radj asc, pl_orbsmax desc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_vsinerr1:    Stellar Rotational Velocity [km/s] Upper Unc.
# COLUMN st_vsinerr2:    Stellar Rotational Velocity [km/s] Lower Unc.
# COLUMN st_vsinlim:     Stellar Rotational Velocity Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
#
pl_name,hostname,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,rastr,ra,decstr,dec
TOI-5688 A b,TOI-5688 A,2024,2.94815527000,0.00000452000,-0.00000448000,0,0.0337900000,0.0004600000,-0.0004500000,0,10.30000000,0.60000000,-0.70000000,0,0.92000000,0.05300000,-0.06200000,0,0.39000000,0.07400000,-0.07700000,0,Mass,0.610000,0.200000,-0.150000,0,0.128000,0.078000,-0.077000,0,50.3000,5.0000,-5.0000,0,742.00,18.00,-18.00,0,87.05000,0.31000,-0.25000,0,,3713.00,59.00,-59.00,0,0.570000,0.020000,-0.020000,0,0.600000,0.020000,-0.020000,0,0.4700,0.1600,-0.1600,0,[Fe/H],-1.22841,0.01940,-0.01343,0,4.690000,0.040000,-0.040000,0,7.2000,2.8000,-4.0000,0,4.430000,0.310000,-0.300000,0,,,,,,,,,17h47m41.54s,266.9231001,+47d42m18.17s,47.7050486
TOI-5634 A b,TOI-5634 A,2024,2.20353730000,0.00000840000,-0.00000840000,0,0.0272000000,0.0003000000,-0.0003000000,0,10.42000000,0.62000000,-0.55000000,0,0.92300000,0.05600000,-0.05000000,0,1.85005489,,,1,Mass,,,,,0.000000,,,0,77.0000,5.0000,-5.0000,0,837.00,34.00,-34.00,0,88.19000,0.94000,-0.69000,0,,3896.00,88.00,-88.00,0,0.540000,0.017000,-0.016000,0,0.556000,0.022000,-0.022000,0,-0.2700,0.1200,-0.1200,0,[Fe/H],-1.24489,0.02086,-0.01872,0,4.730000,0.050000,-0.050000,0,7.4000,4.5000,-4.7000,0,4.990000,0.390000,-0.360000,0,2.0000,,,1,,,,,11h42m34.47s,175.6436366,+20d57m55.05s,20.9652921
WD 1856+534 b,WD 1856+534,2020,1.40794050000,0.00000110000,-0.00000110000,0,0.0204000000,0.0012000000,-0.0012000000,0,10.40000000,1.00000000,-1.00000000,0,0.92782585,0.08921402,-0.08921402,0,13.80000000,,,0,Mass,21.400000,,,0,0.000000,,,0,0.1810,0.0180,-0.0180,0,163.00,14.00,-18.00,0,88.77800,0.05900,-0.05900,0,DC,4710.00,60.00,-60.00,0,0.013100,0.000540,-0.000540,0,0.518000,0.055000,-0.055000,0,,,,,,-4.12000,,,0,7.915000,0.030000,-0.030000,0,7.9300,2.0700,-2.0800,0,,,,,,,,,,,,,18h57m39.76s,284.4156750,+53d30m32.49s,53.5090244
NGTS-30 b,NGTS-30,2024,98.29838000000,0.00010000000,-0.00009000000,0,0.4080000000,0.0190000000,-0.0190000000,0,10.40193409,0.35868738,-0.35868738,0,0.92800000,0.03200000,-0.03200000,0,0.96000000,0.05600000,-0.05600000,0,Mass,1.490000,,,0,0.294000,0.014000,-0.010000,0,172.8570,,,0,500.00,55.00,-84.00,0,89.48300,0.02800,-0.02800,0,,5455.00,80.00,-80.00,0,0.913000,0.029000,-0.029000,0,0.940000,0.060000,-0.060000,0,-0.0300,0.0800,-0.0800,0,[Fe/H],-0.18738,0.01598,-0.02471,0,4.300000,0.500000,-0.500000,0,1.1000,0.4000,-0.4000,0,1.458000,0.157000,-0.133000,0,3.5000,0.8000,-0.8000,0,,,,,11h34m51.57s,173.7148670,-24d36m19.73s,-24.6054801
TOI-2373 b,TOI-2373,2023,13.33668000000,0.00001000000,-0.00001000000,0,0.1120000000,0.0010000000,-0.0010000000,0,10.42435205,0.22417961,-0.22417961,0,0.93000000,0.02000000,-0.02000000,0,9.30000000,0.20000000,-0.20000000,0,Mass,14.400000,0.900000,-1.000000,0,0.112000,0.007000,-0.009000,0,69.8726,,,0,860.00,10.00,-10.00,0,89.20000,0.60000,-0.20000,0,,5651.00,80.00,-80.00,0,1.102000,0.019000,-0.019000,0,1.041000,0.032000,-0.028000,0,0.3000,0.0500,-0.0500,0,[Fe/H],0.05115,0.02183,-0.01813,0,4.371000,0.024000,-0.023000,0,5.9000,1.7000,-1.7000,0,1.096000,0.084000,-0.073000,0,2.7000,0.5000,-0.5000,0,,,,,04h06m44.69s,61.6862197,-16d45m20.72s,-16.7557546
WASP-129 b,WASP-129,2016,5.74814500000,0.00000400000,-0.00000400000,0,0.0628000000,0.0007000000,-0.0007000000,0,10.42437000,0.33627000,-0.33627000,0,0.93000000,0.03000000,-0.03000000,0,1.00000000,0.10000000,-0.10000000,0,Mass,1.600000,0.300000,-0.300000,0,0.096000,,,1,345.7201,,,0,1100.00,25.00,-25.00,0,87.70000,0.20000,-0.20000,0,G1,5900.00,100.00,-100.00,0,0.900000,0.020000,-0.020000,0,1.000000,0.030000,-0.030000,0,0.1500,0.0900,-0.0900,0,[Fe/H],0.11182,0.00719,-0.00731,0,4.530000,0.020000,-0.020000,0,1.0000,0.9000,-0.9000,0,1.940000,0.140000,-0.140000,0,2.7000,0.6000,-0.6000,0,,,,,11h45m11.77s,176.2990518,-42d03m50.25s,-42.0639575
WASP-43 b,WASP-43,2011,0.81347500000,0.00000100000,-0.00000100000,0,0.0142000000,0.0004000000,-0.0004000000,0,10.42400000,0.78500000,-1.00900000,0,0.93000000,0.07000000,-0.09000000,0,1.78000000,0.10000000,-0.10000000,0,Mass,2.939000,0.971000,-0.545000,0,0.000000,,,0,680.8953,,,0,1426.70,8.50,-8.50,0,82.60000,1.30000,-0.90000,0,K7 V,4400.00,200.00,-200.00,0,0.600000,0.030000,-0.040000,0,0.580000,0.050000,-0.050000,0,-0.0500,0.1700,-0.1700,0,[Fe/H],-0.82509,0.03629,-0.02814,0,4.650000,0.060000,-0.040000,0,7.0000,7.0000,-7.0000,0,2.526000,0.080000,-0.080000,0,4.0000,0.4000,,0,15.60000,0.40000,-0.40000,0,10h19m37.96s,154.9081869,-09d48m23.20s,-9.8064431
TOI-7510 d,TOI-7510,2025,48.86446800000,,,0,0.2672000000,0.0053000000,-0.0053000000,0,10.52000000,0.32000000,-0.32000000,0,0.93900000,0.02900000,-0.02900000,0,0.59700000,0.06400000,-0.06400000,0,Mass,0.890000,0.110000,-0.110000,0,0.040000,0.022000,-0.022000,0,20.6036,,,0,542.40,7.80,-7.80,0,89.31200,0.02600,-0.04300,0,G3,5720.00,50.00,-50.00,0,1.035000,0.026000,-0.026000,0,1.063000,0.065000,-0.065000,0,0.2500,0.1000,-0.1000,0,[m/H],0.01115,0.01661,-0.01727,0,4.439000,0.014000,-0.027000,0,4.4000,1.7000,-1.6000,0,1.372000,0.050000,-0.100000,0,3.2000,0.5000,-0.5000,0,,,,,18h14m54.77s,273.7281880,-54d26m02.60s,-54.4340547
KOI-1257 b,KOI-1257,2014,86.64766100000,0.00003400000,-0.00003400000,0,0.3820000000,0.0060000000,-0.0060000000,0,10.54000000,1.35000000,-1.35000000,0,0.94000000,0.12000000,-0.12000000,0,1.45000000,0.35000000,-0.35000000,0,Mass,2.100000,1.200000,-1.200000,0,0.772000,0.045000,-0.045000,0,7.2800,2.7300,-2.2200,0,511.00,50.00,-50.00,0,89.66000,0.24000,-0.38000,0,G5 V,5520.00,80.00,-80.00,0,1.130000,0.140000,-0.140000,0,0.990000,0.050000,-0.050000,0,0.2700,0.0900,-0.0900,0,[Fe/H],0.02920,,,0,4.320000,0.100000,-0.100000,0,9.3000,3.0000,-3.0000,0,0.990000,0.350000,-0.350000,0,4.6000,0.2000,-0.2000,0,,,,,19h24m54.02s,291.2250888,+44d55m38.25s,44.9272918
WASP-56 b,WASP-56,2012,4.61710000000,0.00000300000,-0.00000300000,0,0.0561400000,0.0004000000,-0.0004100000,0,10.53646000,1.00881000,-1.00881000,0,0.94000000,0.09000000,-0.09000000,0,0.45000000,0.09000000,-0.09000000,0,Mass,0.583000,0.064000,-0.061000,0,0.000000,,,0,447.8200,,,0,1216.00,25.00,-24.00,0,88.50000,0.15000,-0.15000,0,G6,5600.00,100.00,-100.00,0,0.960000,0.090000,-0.090000,0,0.710000,0.210000,-0.210000,0,0.1200,,,0,[Fe/H],0.10256,0.00972,-0.00995,0,4.500000,,,0,6.2000,3.0000,-2.1000,0,1.140000,0.090000,-0.090000,0,1.5000,0.9000,-0.9000,0,,,,,12h13m27.85s,183.3660401,+23d03m20.47s,23.0556870
HAT-P-3 b,HAT-P-3,2007,2.89970000000,0.00005400000,-0.00005400000,0,0.0386600000,0.0004100000,-0.0004100000,0,10.53646000,0.78463000,-0.78463000,0,0.94000000,0.07000000,-0.07000000,0,0.65000000,0.11000000,-0.11000000,0,Mass,0.855000,0.071000,-0.071000,0,0.000000,,,0,176.5870,,,0,1189.00,16.00,-16.00,0,87.24000,0.69000,-0.69000,0,K1,5185.00,80.00,-80.00,0,0.870000,0.060000,-0.060000,0,1.060000,0.280000,-0.280000,0,0.2700,,,0,[Fe/H],-0.36000,0.05000,-0.05000,0,4.560000,0.030000,-0.030000,0,1.6000,2.1000,-2.1000,0,2.280000,0.340000,-0.340000,0,0.4600,0.2200,-0.2500,0,19.90000,1.50000,-1.50000,0,13h44m22.56s,206.0940142,+48d01m42.83s,48.0285650
K2-419 A b,K2-419 A,2024,20.35847252000,0.00000614000,-0.00000575000,0,0.1208000000,0.0016000000,-0.0017000000,0,10.55000000,0.39000000,-0.39000000,0,0.94100000,0.03400000,-0.03400000,0,0.61700000,0.04700000,-0.04700000,0,Mass,0.916000,0.136000,-0.114000,0,0.042000,0.045000,-0.029000,0,3.3000,0.4000,-0.4000,0,377.00,11.00,-11.00,0,89.54000,0.12000,-0.09000,0,,3711.00,88.00,-88.00,0,0.541000,0.017000,-0.017000,0,0.562000,0.024000,-0.024000,0,-0.1100,0.1200,-0.1200,0,[Fe/H],-1.27654,0.01927,-0.02016,0,4.740000,0.050000,-0.050000,0,7.4000,4.4000,-4.8000,0,4.990000,0.420000,-0.370000,0,2.0000,,,1,,,,,09h00m04.68s,135.0194934,+13d16m25.34s,13.2737056
POTS-1 b,POTS-1,2013,3.16062960000,0.00000157000,-0.00000157000,0,0.0373400000,0.0009000000,-0.0009000000,0,10.54800000,0.40400000,-0.52700000,0,0.94100000,0.03600000,-0.04700000,0,2.31000000,0.77000000,-0.77000000,0,Mass,3.440000,,,0,,,,,,,,,,,,,88.06000,0.47000,-0.34000,0,K5 V,4400.00,200.00,-200.00,0,0.588000,0.020000,-0.028000,0,0.695000,0.050000,-0.050000,0,-0.0300,0.1500,-0.1500,0,[Fe/H],-1.08690,0.10467,-0.13819,0,4.630000,0.050000,-0.050000,0,,,,,4.814000,,,0,5.3000,,,1,,,,,13h34m26.09s,203.6087259,-66d34m52.19s,-66.5811639
HAT-P-54 b,HAT-P-54,2015,3.79984700000,0.00001400000,-0.00001400000,0,0.0411700000,0.0004300000,-0.0004300000,0,10.58129600,0.31385200,-0.31385200,0,0.94400000,0.02800000,-0.02800000,0,0.76000000,0.03200000,-0.03200000,0,Mass,1.118000,0.098000,-0.098000,0,0.074000,,,1,88.6713,,,0,818.00,12.00,-12.00,0,87.04000,0.08400,-0.08400,0,K7,4390.00,50.00,-50.00,0,0.617000,0.013000,-0.013000,0,0.645000,0.020000,-0.020000,0,-0.1270,0.0800,-0.0800,0,[Fe/H],-0.90170,0.02980,-0.03200,0,4.667000,0.012000,-0.012000,0,3.9000,4.3000,-2.1000,0,2.083061,0.798328,-0.439038,0,2.3500,0.5000,-0.5000,0,,,,,06h39m35.52s,99.8979924,+25d28m56.64s,25.4824005
K2-114 b,K2-114,2017,11.39093100000,0.00000310000,-0.00000320000,0,0.0944000000,0.0013000000,-0.0011000000,0,10.59248676,0.32506044,-0.31385146,0,0.94500000,0.02900000,-0.02800000,0,2.01000000,0.12000000,-0.12000000,0,Mass,2.960000,0.340000,-0.310000,0,0.079000,0.030000,-0.030000,0,40.0000,3.3000,-3.1000,0,701.40,7.60,-7.70,0,89.16000,0.18000,-0.13000,0,,4899.00,59.00,-58.00,0,0.832000,0.022000,-0.021000,0,0.863000,0.037000,-0.031000,0,0.4200,0.0360,-0.0370,0,[Fe/H],-0.44370,0.01773,-0.01848,0,4.534000,0.027000,-0.026000,0,7.6000,4.2000,-4.6000,0,2.110000,0.180000,-0.170000,0,,,,,,,,,08h31m31.90s,127.8829120,+11d55m20.12s,11.9222550
HATS-69 b,HATS-69,2018,2.22525770000,0.00000190000,-0.00000190000,0,0.0321100000,0.0001400000,-0.0001900000,0,10.59250500,0.24659800,-0.24659800,0,0.94500000,0.02200000,-0.02200000,0,0.57700000,,,0,Mass,0.460000,0.250000,-0.250000,0,0.519000,,,1,466.6000,10.0000,-9.8000,0,1295.70,6.90,-6.90,0,88.49000,0.55000,-0.55000,0,,5137.00,16.00,-16.00,0,0.878500,0.007700,-0.007700,0,0.892000,0.011000,-0.016000,0,0.3770,0.0340,-0.0340,0,[Fe/H],-0.31758,0.00751,-0.00765,0,4.501000,0.013000,-0.013000,0,8.0000,1.8000,-1.3000,0,1.854000,0.070000,-0.070000,0,2.5500,0.9000,-0.9000,0,,,,,19h17m11.38s,289.2974275,-60d53m30.34s,-60.8917599
TOI-5344 b,TOI-5344,2023,3.79262200000,0.00000620000,-0.00000620000,0,0.0404100000,0.0007500000,-0.0007500000,0,10.60369574,0.23538859,-0.23538859,0,0.94600000,0.02100000,-0.02100000,0,0.41200000,0.04000000,-0.04000000,0,Mass,0.604000,0.063000,-0.063000,0,0.054000,,,1,38.0000,3.0000,-3.0000,0,689.00,12.00,-12.00,0,87.15000,0.06700,-0.06700,0,,3747.00,64.00,-64.00,0,0.588000,0.011000,-0.011000,0,0.612000,0.034000,-0.034000,0,0.4250,0.0880,-0.0880,0,[Fe/H],-1.21254,0.03340,-0.03618,0,4.686000,0.014000,-0.014000,0,10.9000,5.8000,-5.8000,0,4.240000,0.140000,-0.140000,0,2.0000,,,1,,,,,04h13m03.89s,63.2662165,+20d54m54.56s,20.9151568
WASP-45 b,WASP-45,2011,3.12608900000,0.00000300000,-0.00000300000,0,0.0396300000,0.0011400000,-0.0011200000,0,10.60371400,0.65012200,-0.57165900,0,0.94600000,0.05800000,-0.05100000,0,0.96400000,0.05800000,-0.05600000,0,Mass,1.418000,0.207000,-0.207000,0,0.000000,,,0,294.0000,54.0000,-48.0000,0,1153.00,50.00,-50.00,0,85.02000,0.20000,-0.22000,0,K2 V,5150.00,200.00,-200.00,0,0.855000,0.039000,-0.038000,0,0.850000,0.076000,-0.070000,0,-0.0300,0.2000,-0.2000,0,[Fe/H],-0.33555,0.09104,-0.09731,0,4.503000,0.027000,-0.029000,0,12.7000,1.0000,-5.3000,0,1.920000,0.170000,-0.170000,0,2.3000,0.7000,-0.7000,0,,,,,00h20m57.06s,5.2377567,-35d59m54.47s,-35.9984650
HAT-P-2 b,HAT-P-2,2007,5.63351580000,0.00000360000,-0.00000360000,0,0.0681400000,0.0005100000,-0.0005100000,0,10.65975900,0.43715100,-0.59407700,0,0.95100000,0.03900000,-0.05300000,0,9.02000000,0.10000000,-0.10000000,0,Mass,7.290000,1.120000,-1.120000,0,0.517200,0.001900,-0.001900,0,588.5180,,,0,1540.00,30.00,-30.00,0,86.16000,0.26000,-0.26000,0,F8,6380.00,,,0,1.390000,0.090000,-0.090000,0,1.330000,0.030000,-0.030000,0,0.1800,,,0,[Fe/H],0.53000,0.08000,-0.08000,0,4.160000,0.020000,-0.020000,0,1.4400,0.4700,-0.4700,0,0.434000,0.020000,-0.020000,0,20.8000,0.3000,-0.3000,0,,,,,16h20m36.34s,245.1514324,+41d02m52.66s,41.0479601
HATS-22 b,HATS-22,2017,4.72281240000,0.00000520000,-0.00000520000,0,0.0502500000,0.0004200000,-0.0004200000,0,10.68217700,0.53803200,-0.32506100,0,0.95300000,0.04800000,-0.02900000,0,2.74000000,0.11000000,-0.11000000,0,Mass,3.890000,0.450000,-0.450000,0,0.079000,0.026000,-0.026000,0,111.2990,,,0,858.00,24.00,-17.00,0,87.96000,0.21000,-0.21000,0,K V,4803.00,55.00,-55.00,0,0.689000,0.028000,-0.018000,0,0.759000,0.019000,-0.019000,0,0.0000,0.0400,-0.0400,0,[Fe/H],-0.64589,0.04729,-0.04024,0,4.644000,0.028000,-0.028000,0,,,,,3.280000,0.250000,-0.390000,0,0.5000,0.5000,-0.5000,0,,,,,11h36m02.37s,174.0098693,-29d32m36.11s,-29.5433642
TOI-4214 b,TOI-4214,2025,3.49138850000,0.00000330000,-0.00000320000,0,0.0501800000,0.0007700000,-0.0009400000,0,10.68215861,0.35868738,-0.33626942,0,0.95300000,0.03200000,-0.03000000,0,0.52000000,0.05300000,-0.05400000,0,Mass,0.740000,0.110000,-0.100000,0,0.170000,,,1,1210.0000,150.0000,-110.0000,0,1642.00,47.00,-40.00,0,85.77000,0.42000,-0.47000,0,,6370.00,220.00,-210.00,0,1.434000,0.040000,-0.038000,0,1.382000,0.064000,-0.076000,0,0.2940,0.0820,-0.0860,0,[Fe/H],0.48287,0.05620,-0.05151,0,4.266000,0.029000,-0.036000,0,1.1000,1.3000,-0.8000,0,0.661000,0.061000,-0.065000,0,,,,,,,,,07h20m59.88s,110.2495104,-13d55m34.55s,-13.9262649
CoRoT-28 b,CoRoT-28,2015,5.20851000000,0.00038000000,-0.00038000000,0,0.0603000000,0.0050000000,-0.0050000000,0,10.70459500,0.73979400,-0.73979400,0,0.95500000,0.06600000,-0.06600000,0,0.48400000,0.08700000,-0.08700000,0,Mass,0.690000,0.270000,-0.270000,0,0.047000,0.055000,-0.038000,0,,,,,,,,,88.10000,0.80000,-0.80000,0,G8/9 IV,5150.00,100.00,-100.00,0,1.780000,0.110000,-0.110000,0,1.010000,0.140000,-0.140000,0,0.1500,0.1000,-0.1000,0,[Fe/H],0.38849,0.02073,-0.02177,0,3.600000,0.200000,-0.200000,0,12.0000,1.5000,-1.5000,0,0.270000,0.006000,-0.006000,0,3.0000,0.5000,-0.5000,0,,,,,18h34m45.20s,278.6883216,+05d34m25.29s,5.5736911
WASP-84 b,WASP-84,2014,8.52349648000,0.00000060000,-0.00000060000,0,0.0778000000,0.0021000000,-0.0021000000,0,10.72000000,0.27000000,-0.27000000,0,0.95600000,0.02400000,-0.02400000,0,0.69200000,0.05800000,-0.05800000,0,Mass,0.980000,0.130000,-0.120000,0,0.000000,,,0,34.6952,,,0,732.00,12.00,-12.00,0,88.29200,0.04500,-0.04200,0,K0,5280.00,80.00,-80.00,0,0.768000,0.019000,-0.019000,0,0.853000,0.038000,-0.038000,0,0.0000,0.1000,-0.1000,0,[Fe/H],-0.32500,0.00291,-0.00293,0,4.598000,0.012000,-0.012000,0,2.1000,1.6000,-1.6000,0,2.653000,0.069000,-0.069000,0,2.5580,0.0830,-0.0830,0,14.36000,0.35000,-0.35000,0,08h44m25.68s,131.1069959,+01d51m35.62s,1.8598933
Kepler-419 b,Kepler-419,2014,69.75460000000,0.00070000000,-0.00090000000,0,0.3700000000,0.0070000000,-0.0060000000,0,10.80000000,1.40000000,-1.30000000,0,0.96000000,0.12000000,-0.12000000,0,2.50000000,0.30000000,-0.30000000,0,Mass,3.500000,2.300000,-1.400000,0,0.833000,0.013000,-0.013000,0,37.4160,1.9900,-1.8660,0,613.00,,,0,88.95000,0.14000,-0.17000,0,,6430.00,79.00,-79.00,0,1.740000,0.070000,-0.070000,0,1.390000,0.080000,-0.070000,0,0.1760,0.0700,-0.0700,0,[Fe/H],0.72680,0.02642,-0.02813,0,4.100000,0.120000,-0.120000,0,2.1400,0.2600,-0.2300,0,13.340000,0.180000,-0.190000,0,14.4100,1.3000,-1.3000,0,4.49200,0.01200,-0.01200,0,19h41m40.30s,295.4179125,+51d11m05.15s,51.1847629
TOI-5027 b,TOI-5027,2025,10.24368000000,0.00001000000,-0.00001000000,0,0.0930000000,0.0050000000,-0.0040000000,0,10.76062147,0.56044903,-0.67253884,0,0.96000000,0.05000000,-0.06000000,0,2.02000000,0.13000000,-0.13000000,0,Mass,2.940000,0.580000,-0.620000,0,0.385000,0.025000,-0.026000,0,190.9120,,,0,1056.00,23.00,-24.00,0,88.18000,0.09000,-0.09000,0,,5909.00,145.00,-144.00,0,0.920000,0.040000,-0.040000,0,1.020000,0.050000,-0.050000,0,-0.1500,0.0300,-0.0300,0,[Fe/H],-0.03058,0.01556,-0.01566,0,4.517000,0.006000,-0.008000,0,0.4000,0.6000,-0.3000,0,1.821000,0.039400,-0.037800,0,4.5200,0.1300,-0.1300,0,,,,,16h15m32.41s,243.8850212,-69d13m01.55s,-69.2170972
