# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Mar 31 19:34:59 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbperstr < 10
# CONSTRAINT:  and pl_orbsmaxstr < 3
# CONSTRAINT:  and pl_radjstr > 1
# CONSTRAINT:  and pl_bmassjstr > 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Semi-Major Axis to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Semi-Major Axis to Stellar Radius Lower Unc.
# COLUMN pl_ratdorlim:   Ratio of Semi-Major Axis to Stellar Radius Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_vsinerr1:    Stellar Rotational Velocity [km/s] Upper Unc.
# COLUMN st_vsinerr2:    Stellar Rotational Velocity [km/s] Lower Unc.
# COLUMN st_vsinlim:     Stellar Rotational Velocity Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN st_radverr1:    Systemic Radial Velocity Upper Unc. [km/s]
# COLUMN st_radverr2:    Systemic Radial Velocity Lower Unc. [km/s]
# COLUMN st_radvlim:     Systemic Radial Velocity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2
WASP-104 b,WASP-104,1.75541370000,0.00000180000,-0.00000360000,0,0.0291800000,0.0004500000,-0.0004500000,0,1.13700000,0.03700000,-0.03700000,0,1.27200000,0.04700000,-0.04700000,0,Mass,1.074000,0.088000,-0.088000,0,0.000000,,,0,1516.00,39.00,-39.00,0,6.520000,0.130000,-0.130000,0,G8,5475.00,127.00,-127.00,0,0.963000,0.027000,-0.027000,0,1.076000,0.049000,-0.049000,0,0.3200,0.0900,-0.0900,0,[Fe/H],-0.18964,0.00491,-0.00497,0,4.503000,0.016000,-0.016000,0,3.0000,2.0000,-2.0000,0,1.700000,0.099000,-0.099000,0,0.4000,0.7000,-0.7000,0,,,,,28.54804,0.00010,-0.00010,0,10h42m24.57s,160.6023689,+07d26m06.28s,7.4350768,185.93200000,1.48000000,-1.45800000
HAT-P-8 b,HAT-P-8,3.07634000000,0.00000400000,-0.00000400000,0,0.0449600000,0.0004600000,-0.0004500000,0,1.40000000,0.13000000,-0.13000000,0,1.28000000,0.27000000,-0.27000000,0,Mass,0.685644,0.046417,-0.046417,0,0.000000,,,0,1713.00,27.00,-27.00,0,6.130000,0.290000,-0.290000,0,F6,6200.00,80.00,-80.00,0,1.570000,0.150000,-0.150000,0,1.270000,0.410000,-0.410000,0,0.0100,,,0,[Fe/H],0.51900,0.05000,,0,4.150000,0.030000,-0.030000,0,3.4000,1.0000,-1.0000,0,0.460000,0.070000,-0.070000,0,11.5000,0.5000,-0.5000,0,,,,,-22.38400,0.00350,-0.00350,0,22h52m09.96s,343.0414932,+35d26m49.84s,35.4471778,211.55300000,1.70900000,-1.68200000
KELT-14 b,KELT-14,1.71005660000,0.00000320000,-0.00000260000,0,0.0300500000,0.0003100000,-0.0003100000,0,1.74300000,0.04700000,-0.04700000,0,1.28400000,0.03200000,-0.03200000,0,Mass,0.322000,0.025000,-0.025000,0,0.000000,,,0,1970.00,50.00,-50.00,0,4.248000,0.072000,-0.072000,0,G4,5720.00,130.00,-130.00,0,1.520000,0.030000,-0.030000,0,1.239000,0.039000,-0.039000,0,0.3200,0.0900,-0.0900,0,[Fe/H],0.27875,0.05970,-0.05865,0,4.166000,0.016000,-0.016000,0,5.1100,0.8000,-0.8000,0,0.495000,0.025000,-0.025000,0,3.3000,0.8000,-0.8000,0,,,,,34.59340,0.00170,-0.00170,0,07h13m12.34s,108.3014090,-42d24m35.14s,-42.4097623,250.12100000,1.54900000,-1.52900000
HATS-68 b,HATS-68,3.58622020000,0.00000470000,-0.00000470000,0,0.0507100000,0.0001800000,-0.0001800000,0,1.23200000,0.03900000,-0.02900000,0,1.29000000,0.05900000,-0.05900000,0,Mass,0.856000,0.083000,-0.083000,0,0.036000,,,1,1741.00,12.00,-12.00,0,6.232000,0.086000,-0.086000,0,,6147.00,22.00,-22.00,0,1.748000,0.026000,-0.026000,0,1.351000,0.014000,-0.014000,0,0.2100,0.0430,-0.0430,0,[Fe/H],0.59218,0.01420,-0.01468,0,4.083000,0.012000,-0.012000,0,3.0200,0.1100,-0.1100,0,0.356000,0.015000,-0.015000,0,7.4200,0.2900,-0.2900,0,,,,,11.89460,0.00590,-0.00590,0,01h00m01.46s,15.0060770,-58d54m17.01s,-58.9047242,603.95500000,10.37100000,-10.03400000
K2-113 b,K2-113,5.81768500000,0.00004100000,-0.00004100000,0,0.0642000000,0.0009000000,-0.0009000000,0,1.08305826,0.03122491,-0.03122491,0,1.29000000,0.13000000,-0.14000000,0,Mass,1.970000,0.610000,-0.530000,0,0.000000,,,0,1098.00,23.00,-23.00,0,12.080000,0.630000,-0.520000,0,G,5660.00,87.00,-87.00,0,1.240000,0.030000,-0.030000,0,1.040000,0.040000,-0.040000,0,0.2700,0.0600,-0.0600,0,[Fe/H],0.00860,0.09177,-0.08432,0,4.270000,0.030000,-0.030000,0,5.9000,2.7000,-3.4000,0,0.987000,0.145000,-0.130000,0,2.0600,0.7700,-0.7700,0,,,,,,,,,01h17m47.85s,19.4493823,+06d52m07.85s,6.8688469,635.72200000,13.43000000,-13.43000000
Qatar-1 b,Qatar-1,1.42002420000,0.00000022000,-0.00000022000,0,0.0233200000,0.0004000000,-0.0004000000,0,1.14300000,0.02600000,-0.02500000,0,1.29400000,0.05200000,-0.04900000,0,Mass,1.076000,0.057000,-0.053000,0,0.000000,,,0,1418.00,28.00,-27.00,0,6.247000,0.067000,-0.065000,0,,5013.00,93.00,-88.00,0,0.803000,0.016000,-0.016000,0,0.838000,0.043000,-0.041000,0,0.1710,0.0970,-0.0940,0,[Fe/H],-0.43771,0.04516,-0.04246,0,4.552000,0.012000,-0.011000,0,1.1900,0.4700,-0.4700,0,2.286000,0.074000,-0.070000,0,1.7600,0.2100,-0.2100,0,23.70000,0.10000,-0.10000,0,-38.05580,0.00020,-0.00020,0,20h13m31.65s,303.3818697,+65d09m44.39s,65.1623313,185.61500000,0.80500000,-0.79700000
TOI-5292 A b,TOI-5292 A,2.02191000000,0.00000300000,-0.00000300000,0,0.0279000000,0.0013000000,-0.0013000000,0,1.12800000,0.03900000,-0.03700000,0,1.29900000,0.08100000,-0.07400000,0,Mass,1.120000,0.160000,-0.140000,0,0.034000,0.024000,-0.020000,0,809.00,22.00,-21.00,0,9.820000,0.330000,-0.350000,0,M0&plusmn;0.5,3919.00,80.00,-80.00,0,0.611000,0.019000,-0.019000,0,0.596000,0.013000,-0.013000,0,0.3300,0.1400,-0.1400,0,[Fe/H],-1.10127,0.04229,-0.04686,0,4.642000,0.029000,-0.029000,0,5.0000,2.0000,-2.0000,0,4.120000,0.370000,-0.370000,0,,,,,,,,,,,,,22h56m53.37s,344.2223631,-08d07m11.09s,-8.1197473,337.09500000,8.16450000,-8.16450000
KELT-15 b,KELT-15,3.32944000000,0.00001600000,-0.00001600000,0,0.0461300000,0.0006500000,-0.0006500000,0,1.74000000,0.20000000,-0.20000000,0,1.31000000,0.43000000,-0.43000000,0,Mass,0.360000,0.110000,-0.100000,0,0.000000,,,0,1642.00,45.00,-25.00,0,6.700000,0.250000,-0.250000,0,,6003.00,54.00,-54.00,0,1.780000,0.210000,-0.210000,0,2.060000,0.750000,-0.750000,0,0.0500,,,0,[Fe/H],0.41162,0.05525,-0.03504,0,4.170000,0.030000,-0.030000,0,,,,,0.510000,0.060000,-0.060000,0,7.6000,0.4000,-0.4000,0,,,,,12.20000,0.11000,-0.11000,0,07h49m39.59s,117.4149764,-52d07m13.61s,-52.1204471,324.68300000,2.47900000,-2.44200000
KELT-17 b,KELT-17,3.08017160000,0.00000530000,-0.00000520000,0,0.0488100000,0.0006500000,-0.0006100000,0,1.52500000,0.06500000,-0.06000000,0,1.31000000,0.28000000,-0.29000000,0,Mass,0.460000,0.120000,-0.110000,0,,,,,2087.00,32.00,-33.00,0,6.380000,0.180000,-0.180000,0,A,7454.00,49.00,-49.00,0,1.645000,0.060000,-0.055000,0,1.635000,0.066000,-0.061000,0,-0.0180,0.0740,-0.0720,0,[Fe/H],0.87564,0.03445,-0.03303,0,4.220000,0.022000,-0.024000,0,0.6500,0.1500,-0.1500,0,0.518000,0.045000,-0.042000,0,44.2000,1.5000,-1.3000,0,,,,,28.00000,0.10000,-0.10000,0,08h22m28.18s,125.6174070,+13d44m07.11s,13.7353093,226.50000000,2.50600000,-2.45300000
HAT-P-6 b,HAT-P-6,3.85298000000,0.00000500000,-0.00000500000,0,0.0523900000,0.0008000000,-0.0008200000,0,1.48000000,0.15000000,-0.15000000,0,1.32000000,0.30000000,-0.30000000,0,Mass,0.558000,0.047000,-0.047000,0,0.000000,,,0,1675.00,32.00,-31.00,0,7.730000,0.340000,-0.340000,0,,6570.00,80.00,-80.00,0,1.620000,0.170000,-0.170000,0,1.790000,0.600000,-0.600000,0,-0.1300,,,0,[Fe/H],0.55267,0.05906,-0.05574,0,4.220000,0.030000,-0.030000,0,2.3000,0.5000,-0.7000,0,0.590000,0.080000,-0.080000,0,7.8000,0.6000,-0.6000,0,,,,,-22.70000,0.50000,,0,23h39m05.78s,354.7740917,+42d27m57.55s,42.4659866,275.35800000,3.63600000,-3.54500000
HATS-4 b,HATS-4,2.51672900000,0.00000200000,-0.00000200000,0,0.0362000000,0.0002000000,-0.0002000000,0,1.02000000,0.03700000,-0.03700000,0,1.32300000,0.02800000,-0.02800000,0,Mass,1.550000,0.160000,-0.160000,0,0.013000,0.016000,-0.016000,0,1315.00,21.00,-21.00,0,8.430000,0.170000,-0.220000,0,G,5403.00,50.00,-50.00,0,0.925000,0.022000,-0.022000,0,1.001000,0.020000,-0.020000,0,0.4300,0.0800,-0.0800,0,[Fe/H],-0.18700,0.03200,-0.03500,0,4.510000,0.020000,-0.020000,0,2.1000,1.6000,-1.6000,0,1.352154,0.377296,-0.258232,0,0.7000,0.5000,-0.5000,0,,,,,27.30696,3.12624,-3.12624,0,06h16m26.90s,94.1120914,-22d32m48.78s,-22.5468824,416.45900000,2.72600000,-2.69100000
HD 149143 b,HD 149143,4.07182000000,0.00001000000,-0.00001000000,0,0.0530000000,0.0029000000,-0.0029000000,0,1.22000000,,,0,1.33000000,0.15000000,-0.15000000,0,Msini,0.923000,,,0,0.016700,0.004000,-0.004000,0,,,,,,,,,G0,5856.00,,,0,1.440000,0.080000,-0.080000,0,1.200000,0.200000,-0.200000,0,0.2900,,,0,[Fe/H],0.35000,0.05000,-0.05000,0,4.250000,0.050000,-0.050000,0,4.2800,0.6800,-0.6800,0,0.286186,0.055245,-0.057124,0,3.9000,,,0,,,,,12.05900,0.00400,-0.00400,0,16h32m51.04s,248.2126715,+02d05m04.04s,2.0844547,73.28010000,0.36230000,-0.35880000
NGTS-6 b,NGTS-6,0.88205900000,0.00000080000,-0.00000080000,0,0.0167700000,0.0003200000,-0.0003200000,0,1.32600000,0.09700000,-0.11200000,0,1.33900000,0.02800000,-0.02800000,0,Mass,0.711000,0.214000,-0.136000,0,0.000000,,,0,1283.90,12.49,-12.14,0,4.784000,0.043000,-0.048000,0,,4730.00,44.00,-40.00,0,0.754000,0.013000,-0.013000,0,0.767000,0.025000,-0.025000,0,0.1100,0.0900,-0.0900,0,[Fe/H],-0.59176,0.01501,-0.01554,0,4.700000,1.100000,-0.700000,0,9.7700,0.2500,-0.5400,0,3.930400,0.081500,-0.081200,0,2.8510,0.4310,-0.4310,0,,,,,-19.14200,0.01000,-0.01000,0,05h03m10.89s,75.7953820,-30d23m58.06s,-30.3994612,308.26200000,1.41800000,-1.40700000
WASP-91 b,WASP-91,2.79858100000,0.00000300000,-0.00000300000,0,0.0370000000,0.0010000000,-0.0010000000,0,1.03000000,0.04000000,-0.04000000,0,1.34000000,0.08000000,-0.08000000,0,Mass,1.590000,0.130000,-0.130000,0,0.000000,,,0,1160.00,30.00,-30.00,0,9.100000,0.300000,-0.300000,0,K3,4920.00,80.00,-80.00,0,0.860000,0.030000,-0.030000,0,0.840000,0.070000,-0.070000,0,0.1900,0.1300,-0.1300,0,[Fe/H],-0.38270,0.00264,-0.00265,0,4.300000,0.200000,-0.200000,0,,,,,1.830000,0.140000,-0.140000,0,2.4000,0.4000,-0.4000,0,,,,,2.78200,0.00400,-0.00400,0,23h51m23.14s,357.8464340,-70d09m10.30s,-70.1528621,149.94200000,0.51900000,-0.51600000
HAT-P-50 b,HAT-P-50,3.12201090000,0.00000650000,-0.00000650000,0,0.0453000000,0.0005800000,-0.0014000000,0,1.28800000,0.06400000,-0.06400000,0,1.35000000,0.07300000,-0.07300000,0,Mass,0.780000,0.110000,-0.110000,0,0.115000,,,1,1862.00,34.00,-34.00,0,5.680000,0.190000,-0.190000,0,F5,6280.00,49.00,-49.00,0,1.698000,0.071000,-0.071000,0,1.273000,0.049000,-0.115000,0,-0.1800,0.0800,-0.0800,0,[Fe/H],0.60314,0.03932,-0.04324,0,4.072000,0.029000,-0.029000,0,3.3700,1.4400,-0.2700,0,0.357000,0.037000,-0.037000,0,8.9000,0.5000,-0.5000,0,,,,,6.25000,0.10000,-0.10000,0,07h52m15.23s,118.0634379,+12d08m21.65s,12.1393474,515.45800000,16.69600000,-15.69700000
WASP-97 b,WASP-97,2.07276000000,0.00000100000,-0.00000100000,0,0.0330300000,0.0005600000,-0.0005600000,0,1.14000000,0.06000000,-0.06000000,0,1.36000000,0.19000000,-0.19000000,0,Mass,1.210000,0.150000,-0.150000,0,0.000000,,,0,1555.00,40.00,-40.00,0,6.720000,0.280000,-0.280000,0,G5,5640.00,100.00,-100.00,0,1.080000,0.060000,-0.060000,0,1.180000,0.240000,-0.240000,0,0.2300,,,0,[Fe/H],0.07149,0.00260,-0.00262,0,4.450000,0.080000,-0.080000,0,4.8000,2.1000,-1.6000,0,1.340000,0.170000,-0.170000,0,1.1000,0.5000,-0.5000,0,,,,,6.80877,0.00029,-0.00029,0,01h38m25.23s,24.6051389,-55d46m19.20s,-55.7720006,151.06800000,0.51100000,-0.50700000
K2-237 b,K2-237,2.18053332000,0.00000054000,-0.00000054000,0,0.0355200000,0.0005100000,-0.0006000000,0,1.43300000,0.05600000,-0.04900000,0,1.36600000,0.11000000,-0.09200000,0,Mass,0.577000,0.069000,-0.064000,0,0.030000,0.033000,-0.021000,0,1759.00,49.00,-42.00,0,6.180000,0.160000,-0.190000,0,F9 V,6180.00,160.00,-140.00,0,1.236000,0.043000,-0.036000,0,1.256000,0.055000,-0.062000,0,0.3370,0.0760,-0.0760,0,[Fe/H],0.30320,0.05474,-0.04792,0,4.353000,0.022000,-0.029000,0,1.0900,1.5000,-0.7800,0,0.937000,0.073000,-0.085000,0,11.7600,0.9000,-0.9000,0,5.07000,0.02000,-0.02000,0,-22.47000,0.00040,-0.01470,0,16h55m04.52s,253.7688479,-28d42m38.10s,-28.7105836,314.99500000,7.22100000,-6.91000000
HATS-2 b,HATS-2,1.35413379000,0.00000008000,-0.00000008000,0,0.0231700000,0.0004400000,-0.0004400000,0,1.12200000,0.02400000,-0.02400000,0,1.37000000,0.16000000,-0.16000000,0,Mass,1.206840,0.132620,-0.132620,0,0.000000,,,0,1550.00,29.00,-29.00,0,5.500000,0.090000,-0.090000,0,K,5227.00,95.00,-95.00,0,0.876000,0.020000,-0.020000,0,0.904000,0.052000,-0.052000,0,0.1500,0.0500,-0.0500,0,[Fe/H],-0.26800,0.04600,-0.05100,0,4.510000,0.012000,-0.012000,0,7.2000,4.7000,-8.1000,0,1.346000,0.028000,-0.028000,0,1.5000,0.5000,-0.5000,0,22.46000,5.20000,-5.20000,0,,,,,11h46m57.32s,176.7388264,-22d33m46.83s,-22.5630097,341.92500000,3.67400000,-3.59800000
Kepler-447 b,Kepler-447,7.79430132000,0.00000182000,-0.00000182000,0,0.0769000000,0.0062000000,-0.0079000000,0,1.65000000,0.59000000,-0.56000000,0,1.37000000,0.48000000,-0.46000000,0,Mass,0.400000,0.940000,-0.320000,0,0.123000,0.037000,-0.036000,0,882.00,,,0,20.410000,0.360000,-0.190000,0,G8 V,5493.00,62.00,-62.00,0,1.050000,0.190000,-0.190000,0,1.000000,0.210000,-0.210000,0,0.0700,0.0500,-0.0500,0,[Fe/H],-0.19007,0.01363,-0.01253,0,4.400000,0.100000,-0.100000,0,1.6200,1.4000,-0.6200,0,1.460000,0.030000,-0.040000,0,,,,,,,,,1.39000,0.11000,-0.11000,0,19h01m04.45s,285.2685283,+48d33m35.58s,48.5598835,268.04100000,1.84800000,-1.82300000
TOI-3523 A b,TOI-3523 A,2.30458952000,0.00000082000,-0.00000082000,0,0.0355900000,0.0007600000,-0.0008400000,0,1.42500000,0.03700000,-0.03500000,0,1.37000000,0.12000000,-0.11000000,0,Mass,0.587000,0.051000,-0.051000,0,0.047000,,,1,1984.00,33.00,-33.00,0,5.298000,0.056000,-0.097000,0,,6450.00,110.00,-110.00,0,1.448000,0.035000,-0.035000,0,1.131000,0.074000,-0.078000,0,-0.3660,0.0760,-0.0810,0,[Fe/H],0.51455,0.03323,-0.03311,0,4.171000,0.015000,-0.019000,0,4.3000,1.6000,-1.1000,0,0.529000,0.017000,-0.029000,0,,,,,,,,,,,,,20h17m08.03s,304.2834581,+42d54m23.52s,42.9065338,645.29400000,25.05800000,-23.28100000
HATS-77 b,HATS-77,3.08762620000,0.00000160000,-0.00000160000,0,0.0360700000,0.0002500000,-0.0002500000,0,1.16500000,0.02100000,-0.02100000,0,1.37400000,0.10000000,-0.07400000,0,Mass,1.077000,0.112000,-0.081000,0,0.045000,,,1,828.30,5.90,-5.90,0,12.060000,0.190000,-0.140000,0,,4071.00,13.00,-13.00,0,0.642800,0.006600,-0.006600,0,0.655000,0.014000,-0.014000,0,0.2530,0.0390,-0.0390,0,[Fe/H],-0.99183,0.01177,-0.01210,0,4.638000,0.014000,-0.014000,0,12.1000,5.0000,-5.0000,0,3.480000,0.170000,-0.120000,0,,,,,,,,,-7.75800,0.04300,-0.04300,0,09h59m17.68s,149.8236672,-27d23m34.14s,-27.3928174,436.17600000,10.91000000,-10.40000000
KELT-7 b,KELT-7,2.73477000000,0.00000400000,-0.00000400000,0,0.0441500000,0.0006200000,-0.0005200000,0,1.60000000,0.06000000,-0.06000000,0,1.39000000,0.22000000,-0.22000000,0,Mass,0.442000,0.073000,-0.068000,0,0.000000,,,0,2048.00,27.00,-27.00,0,5.500000,0.170000,-0.170000,0,F,6768.00,7.00,-7.00,0,1.810000,0.070000,-0.070000,0,1.760000,0.250000,-0.250000,0,0.0000,,,0,[Fe/H],0.75800,0.02700,-0.02800,0,4.500000,,,0,1.3000,0.2000,-0.2000,0,0.420000,0.040000,-0.040000,0,69.3000,0.2000,-0.2000,0,,,,,40.74840,0.79955,-0.79955,0,05h13m10.94s,78.2955912,+33d19m04.63s,33.3179532,136.68100000,0.93800000,-0.92400000
OGLE-TR-56 b,OGLE-TR-56,1.21191890000,,,0,0.0238300000,0.0004600000,-0.0005100000,0,1.36301421,0.09197982,-0.09001711,0,1.39000000,0.18000000,-0.17000000,0,Mass,0.680000,0.180000,-0.140000,0,0.000000,,,0,2212.00,61.00,-63.00,0,3.740000,0.190000,-0.150000,0,F8 V,6050.00,100.00,-100.00,0,1.363000,0.089000,-0.086000,0,1.228000,0.072000,-0.078000,0,0.2500,0.0800,-0.0800,0,[Fe/H],0.35000,0.08400,-0.08500,0,4.258000,0.043000,-0.043000,0,3.0000,1.0000,-1.3000,0,0.361000,0.015000,-0.015000,0,3.2000,1.0000,-1.0000,0,,,,,-48.32400,0.01800,-0.01800,0,17h56m35.51s,269.1479583,-29d32m21.2s,-29.5392222,282.83913869,1.82608542,-1.82608542
WASP-71 b,WASP-71,2.90367000000,0.00000700000,-0.00000700000,0,0.0460000000,0.0006000000,-0.0006000000,0,1.18000000,0.12000000,-0.12000000,0,1.39000000,0.33000000,-0.33000000,0,Mass,1.100000,0.200000,-0.200000,0,0.000000,,,0,2016.10,67.00,-52.50,0,4.300000,0.270000,-0.270000,0,F8,6050.00,100.00,-100.00,0,1.820000,0.190000,-0.190000,0,0.760000,0.270000,-0.270000,0,0.1500,,,0,[Fe/H],0.76845,0.01107,-0.01136,0,3.900000,0.050000,-0.050000,0,3.0000,1.0000,-1.0000,0,0.180000,0.030000,-0.030000,0,7.8000,0.3000,-0.3000,0,,,,,7.79410,0.00150,-0.00150,0,01h57m03.23s,29.2634506,+00d45m31.77s,0.7588247,362.71500000,6.98000000,-6.72500000
TOI-2886 b,TOI-2886,1.60200105000,0.00000044000,-0.00000043000,0,0.0287100000,0.0004400000,-0.0005100000,0,1.66300000,0.04100000,-0.03500000,0,1.40000000,0.23000000,-0.23000000,0,Mass,0.377000,0.065000,-0.063000,0,0.110000,,,1,1978.00,45.00,-46.00,0,4.977000,0.070000,-0.099000,0,,6240.00,150.00,-150.00,0,1.241000,0.024000,-0.022000,0,1.229000,0.057000,-0.065000,0,0.2840,0.0730,-0.0770,0,[Fe/H],0.32222,0.04514,-0.04806,0,4.340000,0.015000,-0.022000,0,1.7000,1.7000,-1.1000,0,0.908000,0.039000,-0.053000,0,,,,,,,,,,,,,07h20m01.84s,110.0076569,-10d34m11.43s,-10.5698414,413.67300000,6.81200000,-6.60000000
